MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MinReturn,TotalEnvSteps,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/SuccessRate,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/Average/AverageReturn,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,MetaTest/Average/NumEpisodes,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/SuccessRate,MetaTest/__unnamed_task__/AverageDiscountedReturn
-93.12578638877565,-93.12578638877565,-119.87384325273455,7994,-44.40420692648529,0.0,0.0,5,-93.12578638877565,25.811034131135724,0.0,5,0,25.811034131135724,0,-119.87384325273455,-44.40420692648529,0.0,-93.12578638877565
-72.35753864881136,-72.35753864881137,-315.4782805960925,11190,-7.6436753583666555,0.4444444444444444,0.4444444444444444,9,-72.35753864881136,95.25793777882872,0.4444444444444444,9,1,95.25793777882872,1,-315.4782805960925,-7.6436753583666555,0.4444444444444444,-72.35753864881137
-11.56235272787057,-11.562352727870568,-51.14378883517094,14245,-3.010270375397931,0.8636363636363636,0.8636363636363636,22,-11.56235272787057,13.7781476427101,0.8636363636363636,22,2,13.7781476427101,2,-51.14378883517094,-3.010270375397931,0.8636363636363636,-11.562352727870568
-101.46792561184978,-101.46792561184978,-163.52614202407946,17314,-49.16068998894528,0.0,0.0,5,-101.46792561184978,38.70980250487492,0.0,5,3,38.70980250487492,3,-163.52614202407946,-49.16068998894528,0.0,-101.46792561184978
-45.11308544790994,-45.11308544790995,-342.03659395313497,20334,-3.1258348909736666,0.85,0.85,20,-45.11308544790994,95.9952619941907,0.85,20,4,95.9952619941907,4,-342.03659395313497,-3.1258348909736666,0.85,-45.11308544790995
-87.14728528477592,-87.14728528477595,-201.73929940195183,23403,-7.1367181358314395,0.3333333333333333,0.3333333333333333,6,-87.14728528477592,69.75435658233022,0.3333333333333333,6,5,69.75435658233022,5,-201.73929940195183,-7.1367181358314395,0.3333333333333333,-87.14728528477595
-97.68478940153767,-97.68478940153771,-323.5148058237894,26403,-5.130912674630173,0.6363636363636364,0.6363636363636364,11,-97.68478940153767,134.05974065158165,0.6363636363636364,11,6,134.05974065158165,6,-323.5148058237894,-5.130912674630173,0.6363636363636364,-97.68478940153771
-137.358633961782,-137.358633961782,-259.15883864030565,29403,-57.49277633974048,0.0,0.0,5,-137.358633961782,74.450182409144,0.0,5,7,74.450182409144,7,-259.15883864030565,-57.49277633974048,0.0,-137.358633961782
-45.96297145407936,-45.96297145407936,-302.57771207106,32417,-3.550005444305377,0.8235294117647058,0.8235294117647058,17,-45.96297145407936,88.20398399484681,0.8235294117647058,17,8,88.20398399484681,8,-302.57771207106,-3.550005444305377,0.8235294117647058,-45.96297145407936
-73.06215115545413,-73.06215115545413,-243.17319815694566,35417,-4.434297108601371,0.2857142857142857,0.2857142857142857,7,-73.06215115545413,74.36815069970436,0.2857142857142857,7,9,74.36815069970436,9,-243.17319815694566,-4.434297108601371,0.2857142857142857,-73.06215115545413
-93.1789679974226,-93.1789679974226,-369.4124750009783,38436,-5.206944894184429,0.5555555555555556,0.5555555555555556,9,-93.1789679974226,126.24490301999002,0.5555555555555556,9,10,126.24490301999002,10,-369.4124750009783,-5.206944894184429,0.5555555555555556,-93.1789679974226
-31.761785207685627,-31.761785207685627,-229.73730319642056,41451,-4.9113666855017115,0.75,0.75,16,-31.761785207685627,57.20184794445371,0.75,16,11,57.20184794445371,11,-229.73730319642056,-4.9113666855017115,0.75,-31.761785207685627
-54.93187838944593,-54.93187838944591,-126.42129498429999,44503,-13.612546418089432,0.5,0.5,8,-54.93187838944593,45.02306753017676,0.5,8,12,45.02306753017676,12,-126.42129498429999,-13.612546418089432,0.5,-54.93187838944591
-103.26302308891988,-103.26302308891988,-121.51988765428388,47590,-90.65399796981895,0.0,0.0,5,-103.26302308891988,11.504063441149345,0.0,5,13,11.504063441149345,13,-121.51988765428388,-90.65399796981895,0.0,-103.26302308891988
-47.63040065462135,-47.63040065462136,-89.69352518016065,50761,-18.249307201300898,0.42857142857142855,0.42857142857142855,7,-47.63040065462135,26.481895456892637,0.42857142857142855,7,14,26.481895456892637,14,-89.69352518016065,-18.249307201300898,0.42857142857142855,-47.63040065462136
-38.64601011602967,-38.64601011602968,-179.2037191341834,53776,-4.147300840738844,0.6923076923076923,0.6923076923076923,13,-38.64601011602967,56.92088710500296,0.6923076923076923,13,15,56.92088710500296,15,-179.2037191341834,-4.147300840738844,0.6923076923076923,-38.64601011602968
-110.80320212543977,-110.80320212543977,-236.90490225584483,56805,-28.341269552300666,0.16666666666666666,0.16666666666666666,6,-110.80320212543977,77.41153975482587,0.16666666666666666,6,16,77.41153975482587,16,-236.90490225584483,-28.341269552300666,0.16666666666666666,-110.80320212543977
-151.31241157055592,-151.31241157055592,-243.96427553854934,59847,-87.06746669382795,0.0,0.0,5,-151.31241157055592,64.03939541493767,0.0,5,17,64.03939541493767,17,-243.96427553854934,-87.06746669382795,0.0,-151.31241157055592
-28.494041659429755,-28.49404165942976,-147.5751364239242,62882,-4.533650699141934,0.7692307692307693,0.7692307692307693,13,-28.494041659429755,38.60818970331255,0.7692307692307693,13,18,38.60818970331255,18,-147.5751364239242,-4.533650699141934,0.7692307692307693,-28.49404165942976
-70.62829270046281,-70.62829270046282,-342.77246167038436,65935,-3.100344173700862,0.6666666666666666,0.6666666666666666,12,-70.62829270046281,108.54757881998071,0.6666666666666666,12,19,108.54757881998071,19,-342.77246167038436,-3.100344173700862,0.6666666666666666,-70.62829270046282
-99.73567298830928,-99.7356729883093,-279.3488058473535,68966,-17.630808933781413,0.3333333333333333,0.3333333333333333,6,-99.73567298830928,87.63297129784688,0.3333333333333333,6,20,87.63297129784688,20,-279.3488058473535,-17.630808933781413,0.3333333333333333,-99.7356729883093
-53.58031410134267,-53.58031410134267,-261.9695129586084,72107,-5.346212409485791,0.6666666666666666,0.6666666666666666,12,-53.58031410134267,77.6583743570102,0.6666666666666666,12,21,77.6583743570102,21,-261.9695129586084,-5.346212409485791,0.6666666666666666,-53.58031410134267
-170.87391884546247,-170.87391884546247,-275.6379287744894,75118,-75.04443730019673,0.0,0.0,5,-170.87391884546247,81.03549886233505,0.0,5,22,81.03549886233505,22,-275.6379287744894,-75.04443730019673,0.0,-170.87391884546247
-196.34011147973337,-196.34011147973337,-315.14537298649805,78169,-88.67121638970808,0.0,0.0,5,-196.34011147973337,90.19608627397952,0.0,5,23,90.19608627397952,23,-315.14537298649805,-88.67121638970808,0.0,-196.34011147973337
-204.75287365122335,-204.75287365122335,-286.2793985869987,81255,-116.94202145063906,0.0,0.0,5,-204.75287365122335,70.89284736282148,0.0,5,24,70.89284736282148,24,-286.2793985869987,-116.94202145063906,0.0,-204.75287365122335
-104.07152816688588,-104.07152816688586,-145.31874863554006,84310,-70.86821444639041,0.0,0.0,5,-104.07152816688588,24.735759886761954,0.0,5,25,24.735759886761954,25,-145.31874863554006,-70.86821444639041,0.0,-104.07152816688586
-19.65190458030883,-19.651904580308834,-155.5074399424447,87480,-3.0374432923943386,0.8571428571428571,0.8571428571428571,21,-19.65190458030883,37.01720905711574,0.8571428571428571,21,26,37.01720905711574,26,-155.5074399424447,-3.0374432923943386,0.8571428571428571,-19.651904580308834
-91.92991755320196,-91.92991755320197,-184.87467839620112,90678,-23.54758468422883,0.3333333333333333,0.3333333333333333,6,-91.92991755320196,55.67257228028346,0.3333333333333333,6,27,55.67257228028346,27,-184.87467839620112,-23.54758468422883,0.3333333333333333,-91.92991755320197
-32.11771617632107,-32.11771617632107,-138.38172922708452,93815,-4.644702771135812,0.6363636363636364,0.6363636363636364,11,-32.11771617632107,39.805624359256164,0.6363636363636364,11,28,39.805624359256164,28,-138.38172922708452,-4.644702771135812,0.6363636363636364,-32.11771617632107
-147.2760551300766,-147.2760551300766,-168.28305251889898,96902,-85.0976171851912,0.0,0.0,5,-147.2760551300766,31.322390151520597,0.0,5,29,31.322390151520597,29,-168.28305251889898,-85.0976171851912,0.0,-147.2760551300766
